,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Travis Kelce T. Kelce(TE, KC)",207.10,"176.59 - 237.61",#49,#1,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,114.97,167.63,1319.31,12.65
"Stefon Diggs S. Diggs(WR, BUF)",206.53,"176.07 - 236.99",#50,#5,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,110.22,167.94,1449.36,10.39
"Rhamondre Stevenson R. Stevenson(RB, NE)",202.75,"172.92 - 232.58",#51,#13,"0.00 / 0.00",0.00,0.00,0.00,251.34,1125.35,8.10,49.29,67.50,326.73,2.21
"CeeDee Lamb C. Lamb(WR, DAL)",201.89,"171.83 - 231.95",#52,#6,"0.00 / 0.00",0.00,0.00,0.00,4.92,29.84,0.31,107.56,164.54,1373.79,9.90
"Kenneth Walker III K. Walker(RB, SEA)",200.62,"170.95 - 230.29",#53,#14,"0.00 / 0.00",0.00,0.00,0.00,264.10,1199.25,8.82,29.20,37.81,201.81,1.26
"Davante Adams D. Adams(WR, LV)",199.59,"169.72 - 229.46",#54,#7,"0.00 / 0.00",0.00,0.00,0.00,4.56,25.55,0.30,108.03,167.17,1339.56,10.26
"Alexander Mattison A. Mattison(RB, MIN)",197.61,"168.18 - 227.04",#55,#15,"0.00 / 0.00",0.00,0.00,0.00,250.31,1104.66,8.42,39.56,53.57,260.63,1.93
"Travis Etienne T. Etienne(RB, JAC)",196.77,"167.41 - 226.13",#56,#16,"0.00 / 0.00",0.00,0.00,0.00,255.75,1164.02,8.65,29.50,38.72,223.45,1.52
"A.J. Brown A. Brown(WR, PHI)",195.91,"166.35 - 225.47",#57,#8,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,92.30,148.69,1381.16,9.89
"Miles Sanders M. Sanders(RB, CAR)",191.51,"162.57 - 220.45",#58,#17,"0.00 / 0.00",0.00,0.00,0.00,255.00,1181.17,8.19,31.67,43.74,195.75,1.38
"James Conner J. Conner(RB, ARI)",189.53,"160.72 - 218.34",#59,#18,"0.00 / 0.00",0.00,0.00,0.00,252.88,1086.51,7.97,38.09,49.07,296.93,1.21
"Cam Akers C. Akers(RB, LA)",186.90,"158.32 - 215.48",#60,#19,"0.00 / 0.00",0.00,0.00,0.00,285.20,1264.40,6.74,22.08,29.62,173.59,0.95
"Jahmyr Gibbs J. Gibbs(RB, DET)",185.60,"157.13 - 214.07",#61,#20,"0.00 / 0.00",0.00,0.00,0.00,199.93,884.99,7.64,48.10,66.12,370.50,2.74
"Jaylen Waddle J. Waddle(WR, MIA)",183.35,"154.87 - 211.83",#62,#9,"0.00 / 0.00",0.00,0.00,0.00,10.68,61.23,0.60,87.04,140.00,1280.74,7.80
"Breece Hall B. Hall(RB, NYJ)",177.60,"149.75 - 205.45",#63,#21,"0.00 / 0.00",0.00,0.00,0.00,227.39,1056.51,6.54,33.23,45.03,246.40,1.74
"Amon-Ra St. Brown A. St. Brown(WR, DET)",176.86,"148.93 - 204.79",#64,#10,"0.00 / 0.00",0.00,0.00,0.00,4.55,26.51,0.31,109.21,163.38,1271.39,7.48
"Rachaad White R. White(RB, TB)",176.26,"148.53 - 203.99",#65,#22,"0.00 / 0.00",0.00,0.00,0.00,242.01,1039.38,6.63,41.20,59.44,268.78,1.72
"Dameon Pierce D. Pierce(RB, HOU)",174.97,"147.34 - 202.6",#66,#23,"0.00 / 0.00",0.00,0.00,0.00,270.44,1171.61,5.76,31.81,42.64,202.21,1.36
"Isiah Pacheco I. Pacheco(RB, KC)",173.98,"146.44 - 201.52",#67,#24,"0.00 / 0.00",0.00,0.00,0.00,236.36,1064.82,9.03,17.53,22.54,129.72,0.97
"J.K. Dobbins J. Dobbins(RB, BAL)",173.21,"145.72 - 200.7",#68,#25,"0.00 / 0.00",0.00,0.00,0.00,237.97,1073.19,7.17,23.57,32.01,166.23,1.42
"Garrett Wilson G. Wilson(WR, NYJ)",170.13,"142.78 - 197.48",#69,#11,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,93.47,149.17,1154.93,9.29
